"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 29 14:19:55 UTC 2023","Sun Jan 29 14:20:00 UTC 2023","4749","","Search on site webdriver.io","","Search on site webdriver.io","As a user, I can click on search and type text","As a user, I can click on search and type text",""
"passed","Sat Dec 31 18:57:24 UTC 2022","Sat Dec 31 18:57:27 UTC 2022","2480","","Search on site webdriver.io","","Search on site webdriver.io","As a user, I can click on search and type text","As a user, I can click on search and type text",""
